WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Sigma (MeV), Sigma unc. (MeV), Width (keV), Width unc. (keV), Compres. yield, Compres. yield unc., Compres. rho-R (mg/cm^2), Compres. rho-R unc. (mg/cm^2)Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2)
90-078:2,1017000000.0,1425020400.0,12.412245600113769,0.2579861262487464,0.3541649674001883,0.12723227036156626,834.0584982274435,299.63199670148856,29554597294.36281,678512640.4892391,290.0218164154685,36.02505029081458,102.1431973603322,14.894642806197526
90-078:3,1754000000.0,183293000.0,12.989841326549387,0.06939263860934464,0.3212383739210649,0.015249805355767698,756.5163705841079,35.91329161283293,40612160645.810234,396243338.0141063,280.0090801395732,34.18916368557422,76.6069454300286,8.024788259863605
90-078:4,1281000000.0,169476300.0,13.083267161115822,0.06718626045508991,0.36051541391939335,0.01525758891502349,849.0137997801713,35.93162189488032,24491119296.701813,233241761.15695897,263.05744843709556,31.239930061765076,72.49251842877771,7.70977904775636
