WRF, Yield, Yield unc., Mean energy [MeV], Mean energy unc. [MeV], Sigma [MeV], Sigma unc. [MeV]
N211109-002 000-000:1,80410000.0,314644330.0,12.177,0.8120738882638698,1.292,2.654
N211109-002 000-000:3,236500000.0,808380650.0,12.082,0.5341582162618114,1.654,1.011
N211109-002 090-078:1,114200000.0,385173760.0,12.068,0.8180586776020409,1.35,1.424
N211109-002 090-078:3,173200000.0,666785360.0,11.699,0.7872140750774214,1.53,0.384
N211109-002 090-078:4,80070000.0,294881795.99999994,11.92,0.8320943456123229,1.258,1.952
N211109-002 090-124:1,291900000.0,981893220.0,12.044,0.48448426187029026,1.776,0.379
N211109-002 090-124:3,57200000.0,195543920.0,10.77,1.0468973206575705,1.929,11.139
N211109-002 090-124:4,153400000.0,39745940.0,11.189,0.19860010070490902,1.632,0.296
N211110-001 000-000:1,79450000.0,291057129.99999994,10.486,0.8235690620706924,1.626,2.994
N211110-001 000-000:3,90990000.0,312923709.00000006,11.518,1.4262625985420778,1.411,6.056
N211110-001 090-078:1,9057000.0,28685330.400000006,10.05,2.7788078379045933,3.203,5.944
N211110-001 090-078:3,114400000.0,417960400.0,10.538,0.7756448929761608,1.513,4.738
N211110-001 090-078:4,27230000.0,110926851.0,11.772,1.701023515416527,1.087,8.173
N211110-001 090-124:1,130800000.0,451600080.0,11.575,0.7992552783685574,1.456,6.79
N211110-001 090-124:3,31010000.0,107108540.0,10.689,0.9421762043269826,1.363,1.672
N211110-001 090-124:4,84750000.0,268962600.0,10.869,0.6340070977520678,1.385,4.283
