WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Sigma (MeV), Sigma unc. (MeV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Hot-spot rho-R (mg/cm^2), Shell rho-R (mg/cm^2)
001 000-000:1,319600000.0,15564520.0,15.139,0.05693856338194704,0.267,0.005,0,0,0,0
001 000-000:3,318400000.0,23179520.0,15.022,0.0579827560572969,0.263,0.009,0,0,0,0
001 090-078:1,467100000.0,43487010.0,15.003,0.07366138744281159,0.293,0.016,0,0,0,0
001 090-078:4,385800000.0,23958180.0,14.99,0.07291776189653656,0.258,0.015,0,0,0,0
003 000-000:1,404700000.0,25577040.0,15.267,0.07076722405181653,0.286,0.006,0,0,0,0
003 000-000:3,387000000.0,19930500.000000004,15.116,0.071449282711585,0.279,0.006,0,0,0,0
003 090-078:1,491000000.0,50867600.0,15.107,0.07366138744281159,0.279,0.004,0,0,0,0
003 090-078:4,501700000.0,49567960.0,14.887,0.06325345840347388,0.284,0.01,0,0,0,0
004 000-000:1,622300000.0,38831520.0,15.187,0.05556977595779922,0.287,0.005,0,0,0,0
004 000-000:3,543100000.0,15315420.0,15.1,0.05964059020499378,0.276,0.003,0,0,0,0
004 090-078:1,579200000.0,35157440.0,14.934,0.060216276869298396,0.267,0.012,0,0,0,0
004 090-078:4,716200000.0,55219020.0,14.952,0.060802960454241044,0.27,0.007,0,0,0,0
