Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.450000000000000178e+00,-1.357000000000000000e+08,3.039000000000000000e+07
4.549999999999999822e+00,-3.177000000000000000e+08,1.940000000000000000e+07
4.650000000000000355e+00,-2.046000000000000000e+08,4.478000000000000000e+07
4.750000000000000000e+00,-2.719000000000000000e+08,3.729000000000000000e+07
4.849999999999999645e+00,-2.074000000000000000e+08,4.595000000000000000e+07
4.950000000000000178e+00,-2.544000000000000000e+08,4.126000000000000000e+07
5.049999999999999822e+00,-2.608000000000000000e+08,4.128000000000000000e+07
5.150000000000000355e+00,-2.470000000000000000e+08,4.372000000000000000e+07
5.250000000000000000e+00,-1.926000000000000000e+08,5.029000000000000000e+07
5.349999999999999645e+00,-2.193000000000000000e+08,4.822000000000000000e+07
5.450000000000000178e+00,-1.345000000000000000e+08,5.702000000000000000e+07
5.549999999999999822e+00,-2.423000000000000000e+08,4.718000000000000000e+07
5.650000000000000355e+00,-1.676000000000000000e+08,5.522000000000000000e+07
5.750000000000000000e+00,-1.740000000000000000e+08,5.524000000000000000e+07
5.849999999999999645e+00,-1.095000000000000000e+08,6.142000000000000000e+07
5.950000000000000178e+00,-1.563000000000000000e+08,5.799000000000000000e+07
6.049999999999999822e+00,-1.729000000000000000e+08,5.712000000000000000e+07
6.150000000000000355e+00,-1.792000000000000000e+08,5.714000000000000000e+07
6.250000000000000000e+00,-9.437000000000000000e+07,6.474000000000000000e+07
6.349999999999999645e+00,-1.919000000000000000e+08,5.717000000000000000e+07
6.450000000000000178e+00,3.492000000000000000e+07,7.505000000000000000e+07
6.549999999999999822e+00,-1.030000000000000000e+08,6.557000000000000000e+07
6.650000000000000355e+00,-9.918000000000000000e+07,6.636000000000000000e+07
6.750000000000000000e+00,6.684000000000000000e+07,7.843000000000000000e+07
6.849999999999999645e+00,-2.481000000000000000e+05,7.441000000000000000e+07
6.950000000000000178e+00,-1.662000000000000000e+07,7.373000000000000000e+07
7.049999999999999822e+00,-1.952000000000000000e+08,6.077000000000000000e+07
7.150000000000000355e+00,-7.986000000000000000e+07,7.020000000000000000e+07
7.250000000000000000e+00,-1.773000000000000000e+08,6.329000000000000000e+07
7.349999999999999645e+00,-1.132000000000000000e+07,7.585000000000000000e+07
