WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Sigma (MeV), Sigma unc. (MeV), Width (keV), Width unc. (keV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Compres. yield, Compres. yield unc., Compres. mean (MeV), Compres. mean unc. (MeV), Compres. rho-R (mg/cm^2), Compres. rho-R unc. (mg/cm^2)
N230709-001 00-000:1,7734000000.0,3184087800.0,14.257,0.09998499887483121,1.428,0.021,3362.94,49.455000000000005,29.623055397992513,7.222284791946166,nan,inf,nan,inf,nan,nan
N230709-001 00-000:4,10690000000.0,5740530000.0,14.121,0.11403946685248927,1.425,0.031,3355.875,73.005,35.57556937440052,7.3829015416490655,nan,inf,nan,inf,nan,nan
N230709-001 90-078:1,31650000000.0,68572890000.0,13.723,0.15592626462530293,1.565,0.071,3685.575,167.20499999999998,52.80266086207316,9.357451399124576,nan,inf,nan,inf,nan,nan
N230709-001 90-078:4,32720000000.0,86508408000.0,14.39,0.14057738082636198,1.222,0.02,2877.81,47.1,23.47090297324612,10.120899881630613,nan,inf,nan,inf,nan,nan
N230710-001 00-000:1,26990000000.0,2785368000.0,14.219,0.11314592347937243,1.385,0.03,3261.675,70.64999999999999,30.66205456555657,7.382302228514935,nan,inf,nan,inf,nan,nan
N230710-001 00-000:3,6571000000.0,646586400.0,13.991,0.10606601717798213,1.447,0.044,3407.685,103.61999999999999,40.34755684959065,7.1275664767010385,nan,inf,nan,inf,nan,nan
N230710-001 90-078:1,69830000000.0,23574608000.0,13.83,0.12803515142334937,1.546,0.017,3640.83,40.035000000000004,47.127197087827696,8.047266640882464,nan,inf,nan,inf,nan,nan
N230710-001 90-078:4,52800000000.0,6061440000.0,14.071,0.08905054744357274,1.56,0.026,3673.8,61.23,36.976079200343044,6.607280394517671,nan,inf,nan,inf,nan,nan
N230710-002 00-000:1,44590000000.0,6095453000.0,14.034,0.08091971329657564,1.463,0.02,3445.3650000000002,47.1,38.512852912289006,6.447098520928614,nan,inf,nan,inf,nan,nan
N230710-002 00-000:3,4963000000.0,1739531500.0,13.835,0.08800568163476719,1.538,0.048,3621.9900000000002,113.04,46.89048310269131,7.014498520756079,nan,inf,nan,inf,nan,nan
N230710-002 90-078:1,32750000000.0,4539150000.0,13.902,0.07076722405181653,1.572,0.029,3702.06,68.295,44.07194207842978,6.485650151315807,nan,inf,nan,inf,nan,nan
N230710-002 90-078:4,23040000000.0,3469824000.0,14.006,0.0816884324736373,1.516,0.04,3570.18,94.2,39.69464730350972,6.508315110979041,nan,inf,nan,inf,nan,nan
