WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Sigma (MeV), Sigma unc. (MeV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Hot-spot rho-R (mg/cm^2), Shell rho-R (mg/cm^2)
N221126-001 90-078:1,120000000.0,410000000.0,11.72,0.61,0,0,134.8,29.6,0.0,0.0
N221126-001 90-078:3,44000000.0,150000000.0,12.21,0.25,0,0,112.9,15.1,0.0,0.0
N221126-001 90-078:4,330000000.0,690000000.0,11.85,0.28,0,0,129.0,17.2,0.0,0.0
N221128-001 90-078:1,440000000.0,150000000.0,11.32,0.14,0,0,151.8,15.4,0.0,0.0
N221128-001 90-078:3,98000000.0,250000000.0,11.07,0.75,0,0,162.4,35.6,0.0,0.0
N221128-001 90-078:4,230000000.0,90000000.0,11.47,0.13,0,0,145.0,14.6,0.0,0.0
N230103-004 90-078:1,26000000.0,100000000.0,11.83,1.35,0,0,127.7,58.3,0.0,0.0
N230103-004 90-078:3,90000000.0,190000000.0,11.81,0.31,0,0,128.8,17.7,0.0,0.0
N230103-004 90-078:4,340000000.0,660000000.0,11.36,0.42,0,0,147.5,22.3,0.0,0.0
