|  90-078:1         |  4.4e+08 ± 1.5e+08  |  11.32 ± 0.14  |  151.8 ± 15.4  |
|  90-078:3         |  9.8e+07 ± 2.5e+08  |  11.07 ± 0.75  |  162.4 ± 35.6  |
|  90-078:4         |  2.3e+08 ± 9.0e+07  |  11.47 ± 0.13  |  145.0 ± 14.6  |
