|  90-078:1         |  1.2e+08 ± 4.1e+08  |  11.72 ± 0.61  |  134.8 ± 29.6  |
|  90-078:3         |  4.4e+07 ± 1.5e+08  |  12.21 ± 0.25  |  112.9 ± 15.1  |
|  90-078:4         |  3.3e+08 ± 6.9e+08  |  11.85 ± 0.28  |  129.0 ± 17.2  |
