|  90-078:1         |  2.6e+07 ± 1.0e+08  |  11.83 ± 1.35  |  127.7 ± 58.3  |
|  90-078:3         |  9.0e+07 ± 1.9e+08  |  11.81 ± 0.31  |  128.8 ± 17.7  |
|  90-078:4         |  3.4e+08 ± 6.6e+08  |  11.36 ± 0.42  |  147.5 ± 22.3  |
