Proton energy (MeV),Spectrum (MeV^-1),Spectrum error (MeV^-1)
6.318984801619433,133515457.00477402,71643813.43764459
6.569258404858299,192744177.01998368,68156870.32622984
6.819532008097166,-44133390.837113194,58535774.07495743
7.069805611336033,-14077210.15819252,58910519.03708351
7.320079214574899,2066593.5595677793,58179636.19151075
7.570352817813765,13981598.66027486,59342392.98054666
7.820626421052632,-60726458.53121964,50278657.96472282
8.070900024291499,-28313897.883712344,54747364.4559424
8.321173627530364,26767877.38070921,47724923.801658414
8.57144723076923,-74653606.53805247,47045757.17587723
8.821720834008097,-44806693.0475281,46858769.85517536
9.071994437246964,-8109005.712876636,48657875.263028346
9.322268040485831,-112285532.51032586,41467452.386163376
9.572541643724698,-15288315.280849148,49559887.72658259
9.822815246963563,-82563612.97890744,36873736.447023705
10.07308885020243,-11272429.22513372,47196911.60254601
10.323362453441295,29441934.82756015,48505915.28991836
10.573636056680161,-8414316.201947782,45132720.46172822
10.823909659919028,-46982750.425516196,41290657.77529701
11.074183263157895,92465205.38496637,51083175.227003574
11.324456866396762,-52601417.19208254,40054129.15072659
11.574730469635629,-15101300.268404076,37613116.059863105
11.825004072874496,-79644870.5340271,33766648.22172336
12.07527767611336,-32495924.87238878,37931607.06263362
12.325551279352226,-42155865.807001896,39196339.61297923
12.575824882591093,85928814.15735243,46720943.41946809
12.82609848582996,-68637450.66867414,27817212.71675915
13.076372089068826,35326593.635393515,43575158.39692493
13.326645692307693,-44575538.324981116,35839097.380837284
13.57691929554656,-653911.0377706469,39339479.49145812
13.827192898785427,-35937781.32012458,27817212.71675915
14.077466502024294,-6478126.660461107,32844657.691337224
14.327740105263159,18972426.719969254,37039461.940232106
14.578013708502024,-52589723.285124496,32655929.882966537
14.82828731174089,-20036885.14585434,33541384.544784103
15.078560914979757,48205992.395171724,41134375.08556982
15.328834518218624,-27855103.669146307,32933857.70189134
15.579108121457491,15867698.963182613,38684555.360248335
15.829381724696358,49523564.471189365,41097859.876344025
16.079655327935225,21265653.210093327,37760743.099064544
16.32992893117409,-68052852.2899938,25912220.66963547
16.580202534412955,-28704722.842852592,32278391.993788157
16.83047613765182,-22247173.43725779,28075183.115946908
17.08074974089069,8847491.366304778,36244905.54992868
17.331023344129555,20677164.543120906,33437792.992799394
17.581296947368422,-31000833.703741144,29810649.055346355
17.83157055060729,-46548166.10552333,28706164.891298223
18.081844153846156,45482617.20591539,39196339.61297923
18.332117757085022,-55507587.24606081,25002734.926859267
18.58239136032389,-61781309.506721005,24182749.023846533
18.832664963562753,28569355.600082435,36244905.54992868
19.08293856680162,-49167306.4088232,25002734.926859267
19.333212170040486,7171894.462074606,31990769.967493955
19.583485773279353,-4409365.558906195,30324663.639128394
19.83375937651822,11137966.842875842,33660962.0525588
20.084032979757087,-10869821.415299186,27037135.350068763
20.334306582995954,-38110039.102680534,26928769.642047044
20.58458018623482,24079290.50444459,33452533.038916595
20.834853789473684,31987084.162740886,32186035.890350126
21.08512739271255,-32372403.105966467,25002734.926859267
21.335400995951417,-24598736.905075114,25265467.902656604
21.585674599190284,-32372403.10596646,22956585.580975514
21.83594820242915,33100741.9301673,30971027.475734334
22.086221805668018,-19094217.31428031,25445295.566357967
22.336495408906885,-11320551.113389632,27834189.961376995
22.58676901214575,50868778.493737005,34183822.35949064
22.837042615384615,32569238.439688712,28251204.797153864
23.08731621862348,-21626218.598802548,23801894.528627377
23.33758982186235,9468446.204760855,27257850.32121282
23.587863425101215,17697957.638413012,30889417.248307634
23.838137028340082,22206642.578026775,27599298.082705278
24.08841063157895,-8888022.225535037,24832065.799405728
24.338684234817816,-1114356.0246443958,25912220.66963547
24.58895783805668,6659310.176247077,25576120.570429046
24.839231441295546,10840359.579230087,29105805.90575366
25.089505044534413,10915793.166837534,26008728.343233578
25.33977864777328,3142126.9659468965,25722384.994639203
25.590052251012146,18689459.367728923,26205023.41737812
25.840325854251013,-1778452.9799090188,25445295.566357967
26.09059945748988,38707367.17728376,27418854.971972987
26.340873060728747,7612702.373722002,30107279.735024933
26.591146663967614,15386368.574611867,28075183.11594691
26.84142026720648,31010029.336101037,32278391.993788153
27.091693870445344,50916294.1983053,34310429.54235017
27.34196747368421,12047963.193850571,28706164.891298223
27.592241076923077,35368961.79652248,31389008.964005828
27.842514680161944,74237292.80097571,34535418.37628519
28.09278828340081,4628445.902589807,25265467.902656604
28.343061886639678,16255595.093314487,28448705.296975214
28.593335489878545,78444924.70044114,36244905.54992868
28.84360909311741,47350259.89687706,31735859.37150317
29.093882696356275,109539589.50400372,36873736.447023705
29.34415629959514,55123926.09776769,34310429.54235017
29.59442990283401,65953242.80590226,32849735.322609946
29.844703506072875,144390079.080093,39419682.38713193
30.094977109311742,20011419.86584125,27834189.961376995
30.34525071255061,105521748.0756398,38192308.46108292
30.595524315789476,35558752.26762403,29381696.489692725
