WRF, Yield, Yield unc., Mean energy [MeV], Mean energy unc. [MeV], Sigma [MeV], Sigma unc. [MeV]
000-000:1,79450000.0,291057129.99999994,10.486,0.8235690620706924,1.626,2.994
000-000:3,90990000.0,312923709.00000006,11.518,1.4262625985420778,1.411,6.056
090-078:1,9057000.0,28685330.400000006,10.05,2.7788078379045933,3.203,5.944
090-078:3,114400000.0,417960400.0,10.538,0.7756448929761608,1.513,4.738
090-078:4,27230000.0,110926851.0,11.772,1.701023515416527,1.087,8.173
090-124:1,130800000.0,451600080.0,11.575,0.7992552783685574,1.456,6.79
090-124:3,31010000.0,107108540.0,10.689,0.9421762043269826,1.363,1.672
090-124:4,84750000.0,268962600.0,10.869,0.6340070977520678,1.385,4.283
