000-000  1  4.1e+10  4.7e+09  14.22  0.06  21.6  5.5
000-000  3  4.0e+10  6.8e+09  14.34  0.08  18.0  3.5
090-124  1  5.4e+10  1.7e+10  14.12  0.07  24.9  8.3
090-124  3  7.9e+10  8.7e+09  14.22  0.06  21.6  5.5
