Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.700000000000000178e+00,-2.221000000000000000e+08,1.556000000000000000e+08
4.900000000000000355e+00,-1.028000000000000000e+08,9.681000000000000000e+07
5.099999999999999645e+00,4.609000000000000000e+07,1.283000000000000000e+08
5.299999999999999822e+00,3.745000000000000000e+08,1.614000000000000000e+08
5.500000000000000000e+00,4.581000000000000000e+08,1.733000000000000000e+08
5.700000000000000178e+00,-1.981000000000000000e+07,7.657000000000000000e+07
5.900000000000000355e+00,3.689000000000000000e+07,8.830000000000000000e+07
6.099999999999999645e+00,1.797000000000000000e+08,8.900000000000000000e+07
6.299999999999999822e+00,1.958000000000000000e+08,9.143000000000000000e+07
6.500000000000000000e+00,1.074000000000000000e+08,8.132000000000000000e+07
6.700000000000000178e+00,-1.897000000000000000e+06,6.656000000000000000e+07
6.900000000000000355e+00,-6.936000000000000000e+07,5.587000000000000000e+07
7.099999999999999645e+00,3.047000000000000000e+07,7.287000000000000000e+07
7.299999999999999822e+00,-5.787000000000000000e+07,5.970000000000000000e+07
7.500000000000000000e+00,8.382000000000000000e+07,8.141000000000000000e+07
7.700000000000000178e+00,-6.722000000000000000e+07,5.974000000000000000e+07
7.900000000000000355e+00,1.179000000000000000e+07,7.295000000000000000e+07
8.099999999999999645e+00,7.149000000000000000e+06,7.297000000000000000e+07
8.300000000000000711e+00,4.437000000000000000e+07,7.875000000000000000e+07
8.500000000000000000e+00,1.234000000000000000e+08,8.918000000000000000e+07
8.699999999999999289e+00,3.525000000000000000e+07,7.879000000000000000e+07
8.900000000000000355e+00,5.162000000000000000e+07,8.153000000000000000e+07
9.099999999999999645e+00,-7.831000000000000000e+07,6.346000000000000000e+07
9.300000000000000711e+00,1.263000000000000000e+08,9.167000000000000000e+07
9.500000000000000000e+00,8.000000000000000000e+07,8.678000000000000000e+07
9.699999999999999289e+00,-4.991000000000000000e+07,7.008000000000000000e+07
9.900000000000000355e+00,-1.253000000000000000e+07,7.609000000000000000e+07
1.009999999999999964e+01,3.944000000000000000e+06,7.893000000000000000e+07
1.030000000000000071e+01,-8.410000000000000000e+07,6.696000000000000000e+07
1.050000000000000000e+01,5.787000000000000000e+07,8.688000000000000000e+07
1.069999999999999929e+01,1.790000000000000000e+08,1.009000000000000000e+08
1.090000000000000036e+01,-1.182000000000000000e+08,6.369000000000000000e+07
1.109999999999999964e+01,2.962000000000000000e+06,8.175000000000000000e+07
1.130000000000000071e+01,-6.410000000000000000e+07,7.332000000000000000e+07
1.150000000000000000e+01,-1.102000000000000000e+08,6.712000000000000000e+07
1.169999999999999929e+01,3.182000000000000000e+07,8.700000000000000000e+07
1.190000000000000036e+01,-1.429000000000000000e+07,8.184000000000000000e+07
1.209999999999999964e+01,2.345000000000000000e+06,8.449000000000000000e+07
1.230000000000000071e+01,-1.274000000000000000e+08,6.723000000000000000e+07
1.250000000000000000e+01,-4.799000000000000000e+07,7.920000000000000000e+07
1.269999999999999929e+01,-1.359000000000000000e+08,6.728000000000000000e+07
1.290000000000000036e+01,-5.645000000000000000e+07,7.924000000000000000e+07
1.309999999999999964e+01,-8.157000000000000000e+07,7.646000000000000000e+07
1.330000000000000071e+01,-2.304000000000000000e+07,8.463000000000000000e+07
1.350000000000000000e+01,-6.323000000000000000e+06,8.719000000000000000e+07
1.369999999999999929e+01,-7.323000000000000000e+07,7.934000000000000000e+07
1.390000000000000036e+01,4.806000000000000000e+07,9.446000000000000000e+07
1.409999999999999964e+01,6.482000000000000000e+07,9.677000000000000000e+07
1.430000000000000071e+01,-1.275000000000000000e+08,7.371000000000000000e+07
1.450000000000000000e+01,5.654000000000000000e+07,9.681000000000000000e+07
1.469999999999999929e+01,1.151000000000000000e+08,1.034000000000000000e+08
1.490000000000000036e+01,-3.535000000000000000e+07,8.736000000000000000e+07
1.509999999999999964e+01,1.487000000000000000e+08,1.076000000000000000e+08
1.530000000000000071e+01,-1.690000000000000000e+08,7.083000000000000000e+07
1.550000000000000000e+01,9.873000000000000000e+07,1.035000000000000000e+08
1.569999999999999929e+01,1.783000000000000000e+08,1.116000000000000000e+08
1.590000000000000036e+01,6.970000000000000000e+07,1.014000000000000000e+08
1.610000000000000142e+01,-1.225000000000000000e+08,7.966000000000000000e+07
1.630000000000000071e+01,1.453000000000000000e+08,1.097000000000000000e+08
1.650000000000000000e+01,7.851000000000000000e+07,1.036000000000000000e+08
1.669999999999999929e+01,1.176000000000000000e+07,9.705000000000000000e+07
1.689999999999999858e+01,-5.498000000000000000e+07,9.007000000000000000e+07
1.710000000000000142e+01,-1.008000000000000000e+08,8.510000000000000000e+07
1.730000000000000071e+01,-4.206000000000000000e+07,9.251000000000000000e+07
1.750000000000000000e+01,-1.506000000000000000e+08,7.985000000000000000e+07
1.769999999999999929e+01,7.543000000000000000e+07,1.058000000000000000e+08
1.789999999999999858e+01,8.727000000000000000e+06,9.942000000000000000e+07
1.810000000000000142e+01,8.839000000000000000e+07,1.079000000000000000e+08
1.830000000000000071e+01,2.171000000000000000e+07,1.016000000000000000e+08
1.850000000000000000e+01,1.432000000000000000e+08,1.138000000000000000e+08
1.869999999999999929e+01,-7.095000000000000000e+06,9.951000000000000000e+07
1.889999999999999858e+01,9.887000000000000000e+06,1.017000000000000000e+08
1.910000000000000142e+01,-5.677000000000000000e+07,9.507000000000000000e+07
1.930000000000000071e+01,-3.280000000000000000e+07,9.738000000000000000e+07
1.950000000000000000e+01,9.849000000000000000e+07,1.435000000000000000e+08
