WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Sigma (MeV), Sigma unc. (MeV), Width (keV), Width unc. (keV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Compres. yield, Compres. yield unc., Compres. mean (MeV), Compres. mean unc. (MeV), Compres. rho-R (mg/cm^2), Compres. rho-R unc. (mg/cm^2)
N220905-002 90-078:1,980800000.0,1090747680.0,10.149,0.25276866894455097,1.571,0.552,3699.705,1299.96,184.98577396588078,18.596109653375194,nan,inf,nan,inf,nan,nan
N220905-002 90-078:3,205800000.0,300653220.0,10.061,0.5927984480411533,1.609,8.338,3789.195,19635.989999999998,188.0282023017778,26.626436853797173,nan,inf,nan,inf,nan,nan
N220905-002 90-078:4,88120000.0,60080216.00000001,10.392,0.8036330008156709,1.288,1.283,3033.2400000000002,3021.4649999999997,176.36370390716087,32.433919150054834,nan,inf,nan,inf,nan,nan
N220905-002 90-124:1,133600000.0,533651840.0,10.427,1.0110914894310998,1.47,0.771,3461.85,1815.7050000000002,175.11124994384005,39.01552498723313,nan,inf,nan,inf,nan,nan
N220905-002 90-124:3,1180000000.0,1292808000.0,11.093,0.14855638660118253,1.519,0.443,3577.245,1043.265,151.16521544692856,14.015455363655631,nan,inf,nan,inf,nan,nan
N220905-002 90-124:4,120200000.0,29929800.0,10.203,0.24312959507225773,1.504,0.648,3541.92,1526.04,183.05397831982842,18.298229564296122,nan,inf,nan,inf,nan,nan
N220906-001 90-078:3,14300000.0,67586090.0,11.913,2.000870060748573,1.232,1.514,2901.36,3565.4700000000003,120.30712810269881,73.18366799145572,nan,inf,nan,inf,nan,nan
N220906-001 90-078:4,38980000.0,165302486.0,11.92,1.0666330203026717,1.367,1.482,3219.285,3490.11,120.04719317137497,40.0455070965133,nan,inf,nan,inf,nan,nan
N220906-001 90-124:1,27440000.0,135056936.0,11.971,1.8359163924318558,1.249,9.696,2941.3950000000004,22834.079999999998,118.18427516027158,67.3600120472657,nan,inf,nan,inf,nan,nan
N220906-001 90-124:3,39880000.0,188520736.0,12.725,1.5779939797096818,1.066,8.025,2510.4300000000003,18898.875,90.5048085625421,59.546844184335306,nan,inf,nan,inf,nan,nan
N220906-001 90-124:4,56960000.0,269409408.0,11.569,1.4922067551113687,1.584,1.815,3730.32,4274.325,132.7765439756079,54.76026833858615,nan,inf,nan,inf,nan,nan
