Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.474999999999999645e+00,-4.593000000000000000e+07,1.406000000000000000e+08
4.525000000000000355e+00,1.171000000000000000e+08,1.282000000000000000e+08
4.575000000000000178e+00,-7.822000000000000000e+07,1.092000000000000000e+08
4.625000000000000000e+00,1.475000000000000000e+08,1.079000000000000000e+08
4.674999999999999822e+00,7.592000000000000000e+07,1.027000000000000000e+08
4.724999999999999645e+00,-3.099000000000000000e+07,7.691000000000000000e+07
4.775000000000000355e+00,7.329000000000000000e+07,8.508000000000000000e+07
4.825000000000000178e+00,-1.670000000000000000e+07,6.543000000000000000e+07
4.875000000000000000e+00,1.548000000000000000e+07,6.794000000000000000e+07
4.924999999999999822e+00,2.929000000000000000e+07,6.916000000000000000e+07
4.974999999999999645e+00,2.975000000000000000e+07,5.876000000000000000e+07
5.025000000000000355e+00,3.980000000000000000e+07,5.961000000000000000e+07
5.075000000000000178e+00,-2.767000000000000000e+07,5.573000000000000000e+07
5.125000000000000000e+00,-6.004000000000000000e+07,5.392000000000000000e+07
5.174999999999999822e+00,3.467000000000000000e+07,6.003000000000000000e+07
5.224999999999999645e+00,5.179000000000000000e+07,6.127000000000000000e+07
5.275000000000000355e+00,1.463000000000000000e+08,6.671000000000000000e+07
5.325000000000000178e+00,6.468000000000000000e+07,6.248000000000000000e+07
5.375000000000000000e+00,-7.348000000000000000e+07,5.440000000000000000e+07
5.424999999999999822e+00,-5.636000000000000000e+07,5.576000000000000000e+07
5.474999999999999645e+00,3.115000000000000000e+07,6.128000000000000000e+07
5.525000000000000355e+00,1.996000000000000000e+07,6.088000000000000000e+07
5.575000000000000178e+00,-2.650000000000000000e+07,5.838000000000000000e+07
5.625000000000000000e+00,-3.779000000000000000e+07,5.796000000000000000e+07
5.674999999999999822e+00,-8.422000000000000000e+07,5.533000000000000000e+07
5.724999999999999645e+00,-3.199000000000000000e+07,5.882000000000000000e+07
5.775000000000000355e+00,2.023000000000000000e+07,6.211000000000000000e+07
