|  00-000:1     |  4.6e+08 ± 5.5e+07  |  15.10 ± 0.07  |    nan ±  nan  |
|  90-078:1     |  4.8e+08 ± 7.1e+07  |  14.93 ± 0.06  |    nan ±  nan  |
