|  00-000:1     |  5.8e+08 ± 7.5e+07  |  15.06 ± 0.07  |    nan ±  nan  |
|  90-078:1     |  6.4e+08 ± 6.5e+07  |  14.74 ± 0.08  |    nan ±  nan  |
