|  00-000:1     |  2.6e+08 ± 3.3e+07  |  15.29 ± 0.06  |    nan ±  nan  |
|  90-078:1     |  5.1e+08 ± 1.3e+08  |  14.75 ± 0.07  |    nan ±  nan  |
