|  90-078 1  |  3.5e+07 ± 1.0e+08  |   9.92 ± 0.65  |  193.3 ± 29.1  |
|  90-124 1  |  4.8e+07 ± 1.4e+08  |  10.81 ± 0.51  |  161.0 ± 23.4  |
