|  90-078 3  |  9.0e+07 ± 4.8e+07  |  12.04 ± 0.20  |  115.3 ± 12.3  |
|  90-078 4  |  3.2e+07 ± 1.0e+08  |  11.52 ± 0.57  |  134.6 ± 24.3  |
