|  90-078 4  |  5.5e+07 ± 1.7e+08  |  12.45 ± 1.78  |  100.2 ± 69.2  |
|  90-124 1  |  8.0e+07 ± 8.6e+07  |  13.05 ± 0.36  |   76.9 ± 15.5  |
