WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Sigma (MeV), Sigma unc. (MeV), Width (keV), Width unc. (keV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Compres. yield, Compres. yield unc., Compres. mean (MeV), Compres. mean unc. (MeV), Compres. rho-R (mg/cm^2), Compres. rho-R unc. (mg/cm^2)
001 00-000:1,2916000000.0,557247600.0,9.713,0.09013878188659974,0.468,0.011,1102.14,25.904999999999998,nan,nan,nan,inf,nan,inf,nan,nan
001 00-000:2,2224000000.0,292011200.0,9.803,0.13382451195502265,0.468,0.011,1102.14,25.904999999999998,nan,nan,nan,inf,nan,inf,nan,nan
001 00-000:3,4170000000.0,429927000.0,14.787,0.06403124237432849,0.326,0.005,767.73,11.775,nan,nan,nan,inf,nan,inf,nan,nan
001 00-000:4,1193000000.0,173820100.0,14.716,0.06529931086925804,0.332,0.005,781.86,11.775,nan,nan,nan,inf,nan,inf,nan,nan
001 90-078:1,4336000000.0,473491200.0,14.795,0.0626258732474047,0.312,0.003,734.76,7.065,nan,nan,nan,inf,nan,inf,nan,nan
001 90-078:3,8132000000.0,1065292000.0,14.884,0.06389053137985315,0.321,0.004,755.955,9.42,nan,nan,nan,inf,nan,inf,nan,nan
001 90-078:4,5066000000.0,1137823600.0,14.856,0.06453681120105022,0.346,0.007,814.8299999999999,16.485,nan,nan,nan,inf,nan,inf,nan,nan
003 00-000:1,3732000000.0,495982800.0,9.938,0.08542833253669417,0.45,0.008,1059.75,18.84,nan,nan,nan,inf,nan,inf,nan,nan
003 00-000:2,2406000000.0,322404000.0,10.257,0.09841239759298621,0.449,0.009,1057.395,21.194999999999997,nan,nan,nan,inf,nan,inf,nan,nan
003 00-000:3,3395000000.0,525206500.0,14.818,0.0651920240520265,0.314,0.006,739.47,14.13,nan,nan,9195357643.290209,7.796590296861418e-08,15.706840105350985,0.007002359971769976,nan,nan
003 00-000:4,881900000.0,183435200.0,14.805,0.06720863039818621,0.329,0.02,774.7950000000001,47.1,nan,nan,3509810224.354731,20536380013.471497,15.190865786644599,0.10391726388173797,nan,nan
003 90-078:1,7502000000.0,633918999.9999999,14.822,0.06200806399170999,0.297,0.003,699.435,7.065,nan,nan,nan,inf,nan,inf,nan,nan
003 90-078:3,8164000000.0,1007437600.0,15.025,0.07516648189186455,0.306,0.003,720.63,7.065,nan,nan,nan,inf,nan,inf,nan,nan
003 90-078:4,7593000000.0,658313100.0,14.963,0.07366138744281159,0.303,0.002,713.5649999999999,4.71,nan,nan,nan,inf,nan,inf,nan,nan
