WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Sigma (MeV), Sigma unc. (MeV), Width (keV), Width unc. (keV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Compres. yield, Compres. yield unc., Compres. mean (MeV), Compres. mean unc. (MeV), Compres. rho-R (mg/cm^2), Compres. rho-R unc. (mg/cm^2)
96832 TIM6,9305000.0,27185488.0,11.334,1.2914414427297896,1.802,2.292,4243.71,5397.66,124.48000000000003,46.22353449465909,nan,inf,nan,inf,nan,nan
96833 TIM6,23570000.0,10012535.999999998,11.481,0.2502978226033938,2.148,0.248,5058.54,584.04,120.015761589404,15.15082425829712,nan,inf,nan,inf,nan,nan
96834 TIM6,14020000.0,10408447.999999998,11.986,0.23429255216502295,2.047,0.496,4820.685,1168.08,104.38139072847682,13.870771472062884,nan,inf,nan,inf,nan,nan
96835 TIM6,7690000.0,22237942.0,12.124,0.4190334115556897,1.763,0.795,4151.865,1872.2250000000001,99.99449342105262,19.216519037009917,nan,inf,nan,inf,nan,nan
96836 TIM6,3009000.0,1592663.7,11.564,0.2707323401442835,1.617,0.766,3808.035,1803.93,117.48098684210527,15.617655761696568,nan,inf,nan,inf,nan,nan
96837 TIM6,5704000.0,2193758.4,11.464,0.1140570032922135,1.89,0.21,4450.95,494.54999999999995,120.53364238410597,11.269937280522313,nan,inf,nan,inf,nan,nan
