WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Temperature (keV), Temperature unc. (keV), Width (keV), Width unc. (keV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Compres. yield, Compres. yield unc., Compres. mean (MeV), Compres. mean unc. (MeV), Compres. rho-R (mg/cm^2), Compres. rho-R unc. (mg/cm^2)
O109900 P2,578500000.0,60916050.0,15.301,0.06931089380465383,7.824489796065968,0.8397779401611429,628.7850000000001,9.42,nan,nan,nan,inf,nan,inf,nan,nan
O109901 P2,637000000.0,63827400.0,15.458,0.06122091146005587,8.190476190630696,0.8060610930044323,638.205,7.065,nan,nan,nan,inf,nan,inf,nan,nan
O109903 P2,416500000.0,62016850.0,15.24,0.062481997407253236,8.190476190630696,0.9376257378025464,638.205,14.13,nan,nan,nan,inf,nan,inf,nan,nan
O109904 P2,636200000.0,50832380.0,15.301,0.06060528029800704,9.417517006980372,0.7814029016610561,668.8199999999999,4.71,nan,nan,nan,inf,nan,inf,nan,nan
O109905 P2,588500000.0,71855850.00000001,15.26,0.06184658438426491,8.28282312940795,0.8872712211299985,640.5600000000001,11.775,nan,nan,nan,inf,nan,inf,nan,nan
O109907 P2,234000000.0,52696800.0,15.415,0.06579513659838392,14.108843537681112,1.1724830716645112,774.7950000000001,18.84,nan,nan,nan,inf,nan,inf,nan,nan
O109908 P2,432100000.0,34135900.0,15.44,0.06060528029800704,9.51428571446519,1.0167224251657472,671.175,16.485,nan,nan,nan,inf,nan,inf,nan,nan
O109909 P2,575300000.0,97110640.0,15.3,0.062481997407253236,8.561904762066275,0.7799117245813618,647.625,4.71,nan,nan,nan,inf,nan,inf,nan,nan
O109910 P2,467200000.0,70874240.0,15.29,0.062481997407253236,8.938775510372706,0.8469682807904506,657.0450000000001,9.42,nan,nan,nan,inf,nan,inf,nan,nan
O109911 P2,893200000.0,86104480.0,15.284,0.06060528029800704,10.70204081652841,0.8155436296954299,699.435,7.065,nan,nan,nan,inf,nan,inf,nan,nan
