90-078  1  2.3e8  4.3e8  11.49  0.46  113.4  21.4
90-078  3  2.3e8  4.5e8  11.82  0.34  100.2  16.3
90-078  4  6.4e7  3.0e8  12.18  1.78  85.8  66.5
