WRF, Yield, Yield unc., Mean energy [MeV], Mean energy unc. [MeV], Sigma [MeV], Sigma unc. [MeV]
090-078:1 (bottom),191800000.0,81150580.0,13.094543093083601,0.10304672748236232,0.27506013925221584,0.249
090-078:1 (top),117300000.0,323935680.00000006,13.465192368131172,0.29563895856092337,0.2774883733749407,0.616
090-078:3 (bottom),210000000.0,143409000.00000003,13.052532177731795,0.149104173564246,0.3256115846704368,0.115
090-078:3 (top),201200000.0,570905000.0,13.446315228125126,0.26596540235133315,0.29916133654887656,0.098
090-078:4 (full),132400000.0,123092280.0,13.16044593844842,0.10665781386267525,0.30955534831447995,0.071
090-315:1 (bottom),15550000.0,40304045.0,13.138475445567163,0.1434997613811655,0.20441592159175936,0.35
090-315:1 (top),99780000.0,115006428.0,13.55582474374188,0.1828143068524435,0.4193118936464266,0.337
090-315:3 (bottom),116700000.0,34683240.0,11.569192718442638,0.14034927522167884,0.4725426428919981,0.341
090-315:3 (top),143800000.0,386074240.0,13.236948178662313,0.16839273331356086,0.3674583416225614,0.245
090-315:4 (full),59730000.0,38501957.99999999,12.991445647531778,0.14112711335936723,0.4562618818476478,0.172
