WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Sigma (MeV), Sigma unc. (MeV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Hot-spot rho-R (mg/cm^2), Shell rho-R (mg/cm^2)
N220405-002 000-000:1,61280000000.0,4216064000.0,14.001,0.07009279563550022,1.489,0.036,40.04639901814801,6.280200134188248,7.568896395124795,15.435956483245954
N220405-002 000-000:3,137900000000.0,55518540000.0,14.416,0.08105553651663777,1.4,0.018,21.68171385914938,7.9355218939759355,2.4453864346933303,5.025804755297408
N220405-002 090-078:1,120200000000.0,35038300000.0,13.711,0.07213875518748573,1.55,0.018,52.26163678939999,7.0511024441852275,11.40990966318139,23.174738877860694
N220405-002 090-078:4,61860000000.0,9643974000.0,13.889,0.08324061508662703,1.559,0.023,44.76505316093222,6.78136651536552,9.035046917316384,18.395537966244195
N220405-003 000-000:1,20830000000.0,4501363000.0,13.727,0.06747592163134936,1.477,0.024,51.588982979649515,6.918370186508494,11.200643419119844,22.730238848565193
N220405-003 000-000:3,23750000000.0,6680875000.0,13.759,0.08402380615040002,1.463,0.026,50.237370870640405,7.142567634460186,10.769615732836511,21.8647378612936
N220405-003 090-078:1,28750000000.0,9593874999.999998,13.774,0.06876772498781678,1.531,0.021,49.607075142674624,6.796191582760511,10.569058666122226,21.461832498416854
N220405-003 090-078:4,23020000000.0,5720470000.0,13.59,0.07286288492778749,1.554,0.027,57.399104901233066,7.467374255015366,13.06622812542849,26.470198752084602
N220406-001 000-000:1,20160000000.0,4715424000.0,13.574,0.08386894538504702,1.584,0.026,59.53220345199254,7.881859810188426,10.582046643732742,30.94054358665863
N220406-001 000-000:3,12010000000.0,2218247000.0,13.675,0.10689246933250256,1.536,0.014,55.099790774881086,8.087584685175022,9.47644475881728,27.745081095581895
N220406-001 090-078:1,18320000000.0,1641472000.0000002,13.544,0.070178344238091,1.602,0.023,60.861264917464425,7.73517045123932,10.914904825202672,31.90134457804153
N220406-001 090-078:4,15280000000.0,2729008000.0,13.392,0.07218032973047436,1.625,0.015,67.58043276741633,8.360728217486644,12.605601036399461,36.77313207713232
