Proton energy (MeV),Spectrum (MeV^-1),Spectrum error (MeV^-1)
7.63943990140845,-18543703.792014882,11982161.936804447
7.939571704225352,-12685330.461176546,12573681.10532819
8.239703507042254,-24974730.851313423,13784924.863404786
8.539835309859154,-34461253.20238683,13500008.946851956
8.839967112676057,-41726398.92662639,12893049.95230993
9.140098915492956,-42418109.58193325,12536067.314512234
9.44023071830986,-30605843.721572716,12668597.462853104
9.740362521126759,-28701802.883500237,12285789.20703888
10.040494323943662,-61002234.59424096,10764732.276613804
10.340626126760561,-33095234.155434426,11565690.951165073
10.640757929577465,-23042883.879652318,11606856.717516301
10.940889732394366,-1921449.8931530837,12272774.058917401
11.241021535211267,-28704628.28365615,10787978.140234066
11.541153338028169,-45098083.61687789,9708160.614993624
11.84128514084507,-23166336.085101064,10669338.320803648
12.141416943661971,-11727036.393355561,10955503.51605214
12.441548746478873,-21327587.225680623,10315426.311209166
12.741680549295774,12012166.61134988,11311537.162016707
13.041812352112675,-15665727.214625144,10173214.433376487
13.341944154929577,-2974019.480937569,10436720.19517855
13.642075957746478,-5432661.580543839,10361246.598005645
13.94220776056338,-9146295.085261825,9951440.587318994
14.24233956338028,-14197329.62010779,9556361.228733202
14.542471366197182,-12999787.74885949,9432073.815960849
14.842603169014083,4062376.427721739,9881553.036172953
15.142734971830986,349392.522774656,9868277.857527087
15.442866774647886,5143274.364211991,9982265.70440043
15.742998577464789,10779799.996059358,9805821.077302707
16.04313038028169,-790877.652816783,9388376.996322269
16.34326218309859,-11606669.445030794,8377338.273484128
16.64339398591549,-10391953.732980894,8433846.702127807
16.943525788732394,-24020145.77661431,7636897.164233287
17.243657591549294,-22026359.72972596,7724848.233396637
17.543789394366197,-21078096.48985138,6962153.677469474
17.843921197183096,-8647319.65475783,8313298.593110561
18.144053,-13020708.51829491,7885185.00553022
18.4441848028169,-21349934.673997458,7142651.489372744
18.744316605633802,-4597371.319597068,8159737.098026599
19.0444484084507,-14300286.286696494,7430454.074469979
19.344580211267605,-16294072.333585804,7276658.4477222245
19.644712014084504,-6146161.692520608,7623173.22803478
19.944843816901408,-24838054.988876317,6384215.174965875
20.244975619718307,-3903301.4965489856,7791948.149657476
20.54510742253521,1470552.6741204278,8138727.558001565
20.84523922535211,-6273346.633641719,7090680.454637003
21.145371028169013,-22947360.26200987,6332761.65333272
21.445502830985912,-1594476.0366382196,7090355.565218227
21.745634633802815,-597583.0131954873,7492656.396538275
22.04576643661972,-1504318.1373306587,7258605.601626136
22.345898239436618,-13034749.429953078,6334298.731426552
22.64603004225352,-1072033.148624007,7299614.044712523
22.94616184507042,-19016107.57061864,5362672.865465957
23.246293647887324,11473659.38359514,8082960.152757214
23.546425450704223,-2730462.6004356765,6997987.835319783
23.846557253521123,-14693178.881765768,5969525.570935222
24.146689056338026,-5813748.89383095,6268949.415471173
24.44682085915493,-13729032.908451973,5994455.5863363
24.74695266197183,-9741460.814675337,6490724.723780822
25.04708446478873,-12732139.8850082,5852711.745213732
25.34721626760563,-10176.332686247304,6969481.275736391
25.647348070422535,-17859348.829911496,5180008.098948705
25.947479873239434,-10881097.665802384,5764583.102582248
26.247611676056334,-11877990.689246545,5862642.423114362
26.547743478873237,-9858172.618705133,5504990.735576668
