WRF, Yield, Yield unc., Mean energy [MeV], Mean energy unc. [MeV], Sigma [MeV], Sigma unc. [MeV]
001 000-000:1,30930000000.0,9291372000.0,14.902,0.07592759709091287,1.397,0.012
001 000-000:2,41690000000.0,9330222000.0,14.948,0.07291776189653656,1.386,0.01
001 000-000:3,9632000000.0,3894217600.0,14.972,0.08875246475450695,1.339,0.026
001 000-000:4,9967000000.0,3306053900.0,14.78,0.08043009387039157,1.385,0.013
001 090-078:1,42560000000.0,14900256000.0,15.108,0.07824321056807422,1.34,0.007
001 090-078:2,114100000000.0,955553270000.0,15.163,0.07441102068914254,1.327,0.017
001 090-078:3,25700000000.0,6381310000.0,15.201,0.06931089380465383,1.308,0.018
001 090-078:4,250000000000.0,484825000000.0,15.305,0.08080222769206305,1.291,0.024
002 000-000:1,41120000000.0,6677887999.999999,14.91,0.06859300255857008,1.308,0.026
002 000-000:2,53400000000.0,7716300000.0,14.808,0.0651920240520265,1.307,0.021
002 000-000:3,61040000000.0,15424808000.0,14.823,0.07000714249274856,1.314,0.019
002 000-000:4,33160000000.0,5779788000.0,14.84,0.06929646455628166,1.32,0.021
002 090-078:1,43260000000.0,5827122000.0,15.046,0.07592759709091287,1.401,0.008
002 090-078:2,55480000000.0,5065324000.000001,14.917,0.06789698078707182,1.402,0.009
002 090-078:3,36270000000.0,8197020000.0,14.98,0.06929646455628166,1.407,0.016
002 090-078:4,91430000000.0,9389861000.0,14.834,0.06859300255857008,1.362,0.011
003 000-000:1,59450000000.0,94252030000.0,15.179,0.0862670273047588,1.259,0.025
003 000-000:2,254800000000.0,1393756000000.0,15.161,0.08220097323024832,1.305,0.022
003 000-000:3,451900000000.0,281217370000.0,15.601,0.07860025445251434,1.2,0.02
003 000-000:4,48610000000.0,5531818000.0,15.032,0.06789698078707182,1.302,0.023
003 090-078:1,44290000000.0,20160808000.000004,15.087,0.07592759709091287,1.333,0.01
003 090-078:2,50610000000.0,35381451000.0,15.128,0.06929646455628166,1.326,0.03
003 090-078:3,91480000000.0,30645800000.0,15.014,0.0651920240520265,1.373,0.015
003 090-078:4,113700000000.0,55155870000.0,15.2,0.06648308055437865,1.296,0.017
