Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
5.750000000000000000e+00,-5.219000000000000000e+05,1.105000000000000000e+06
6.250000000000000000e+00,-2.577000000000000000e+06,6.027000000000000000e+05
6.750000000000000000e+00,-1.356000000000000000e+06,1.018000000000000000e+06
7.250000000000000000e+00,4.541000000000000000e+06,1.974000000000000000e+06
7.750000000000000000e+00,4.363000000000000000e+06,1.978000000000000000e+06
8.250000000000000000e+00,1.213000000000000000e+07,2.766000000000000000e+06
8.750000000000000000e+00,1.289000000000000000e+07,2.847000000000000000e+06
9.250000000000000000e+00,1.646000000000000000e+07,3.142000000000000000e+06
9.750000000000000000e+00,2.190000000000000000e+07,3.538000000000000000e+06
1.025000000000000000e+01,1.706000000000000000e+07,3.218000000000000000e+06
1.075000000000000000e+01,1.783000000000000000e+07,3.289000000000000000e+06
1.125000000000000000e+01,2.047000000000000000e+07,3.486000000000000000e+06
1.175000000000000000e+01,1.890000000000000000e+07,3.394000000000000000e+06
1.225000000000000000e+01,1.406000000000000000e+07,3.060000000000000000e+06
1.275000000000000000e+01,1.110000000000000000e+07,2.842000000000000000e+06
1.325000000000000000e+01,6.265000000000000000e+06,2.433000000000000000e+06
1.375000000000000000e+01,8.910000000000000000e+06,2.694000000000000000e+06
1.425000000000000000e+01,4.546000000000000000e+06,2.307000000000000000e+06
1.475000000000000000e+01,-1.220000000000000000e+06,1.651000000000000000e+06
1.525000000000000000e+01,4.932000000000000000e+05,1.905000000000000000e+06
1.575000000000000000e+01,8.057000000000000000e+05,1.969000000000000000e+06
1.625000000000000000e+01,-2.620000000000000000e+06,1.543000000000000000e+06
1.675000000000000000e+01,9.666000000000000000e+05,2.039000000000000000e+06
1.725000000000000000e+01,1.282000000000000000e+06,2.099000000000000000e+06
1.775000000000000000e+01,-2.609000000000000000e+06,1.641000000000000000e+06
1.825000000000000000e+01,5.123000000000000000e+05,2.062000000000000000e+06
1.875000000000000000e+01,1.297000000000000000e+06,2.173000000000000000e+06
