type,DIM,position,distance,theta,phi,filter ID,bert ID,ernie ID
WRF,TC000-000,1,51.83173660578625,13.437895109162612,165.57334518350694,13425859,13515860,
WRF,TC000-000,2,51.83173660578625,13.437895109162612,194.42665481649303,13425863,13515870,
WRF,TC000-000,3,51.83173660578625,13.437895109162612,345.57334518350694,13425866,13515864,
WRF,TC000-000,4,51.83173660578625,13.437895109162612,14.426654816493068,13425852,13515862,
WRF,TC090-078,1,51.83173660578625,76.97115807939502,81.40667096838155,13425890,13515889,
WRF,TC090-078,3,51.83173660578625,103.02884192060498,74.59332903161845,13425909,13515872,
WRF,TC090-078,4,51.83173660578625,103.02884192060498,81.40667096838155,13425914,13515876,
