WRF, Yield, Yield unc., Mean energy [MeV], Mean energy unc. [MeV], Sigma [MeV], Sigma unc. [MeV]
N211116-001 000-000:1,52250000000.0,8631700000.0,13.933,0.071449282711585,1.485,0.011
N211116-001 000-000:3,51440000000.0,6995840000.0,14.093,0.10519030373565806,1.512,0.018
N211116-001 090-078:1,38730000000.0,7715016000.000001,13.916,0.0824621125123532,1.527,0.02
N211116-001 090-078:4,37360000000.0,4483200000.0,13.655,0.06824954212300621,1.542,0.016
N211116-002 000-000:1,55300000000.0,15290450000.0,14.032,0.1418731828077456,1.579,0.01
N211116-002 000-000:3,76280000000.0,32472396000.0,14.051,0.15404220200970903,1.546,0.018
N211116-002 090-078:1,178800000000.0,87951720000.0,13.993,0.071449282711585,1.563,0.015
N211116-002 090-078:4,83140000000.0,13119492000.0,14.208,0.08105553651663777,1.497,0.024
N211117-001 000-000:1,76790000000.0,8746381000.0,14.046,0.07076722405181653,1.472,0.019
N211117-001 000-000:3,84360000000.0,12957696000.0,14.03,0.08091971329657564,1.479,0.029
N211117-001 090-078:1,92970000000.0,189788958000.0,14.09,0.0957183368012629,1.553,0.022
N211117-001 090-078:4,66280000000.0,14164036000.0,13.939,0.07213875518748573,1.576,0.013
