Title: P in a C-H (1:1.38) plasma (Ni = 1.06e+24/cm^3, Ti=Te= 2.50e-01 keV)
Header: Electron degeneracy correction used.
rho = 10.000000 gm/cm^3
Energy (MeV)	Range (g/cm^2)
2.0000e-01	1.5373e-03
4.0000e-01	2.5154e-03
6.0000e-01	3.4689e-03
8.0000e-01	4.4571e-03
1.0000e+00	5.5038e-03
1.2000e+00	6.6227e-03
1.4000e+00	7.8227e-03
1.6000e+00	9.1101e-03
1.8000e+00	1.0489e-02
2.0000e+00	1.1963e-02
2.2000e+00	1.3533e-02
2.4000e+00	1.5201e-02
2.6000e+00	1.6967e-02
2.8000e+00	1.8832e-02
3.0000e+00	2.0795e-02
3.2000e+00	2.2855e-02
3.4000e+00	2.5013e-02
3.6000e+00	2.7267e-02
3.8000e+00	2.9617e-02
4.0000e+00	3.2062e-02
4.2000e+00	3.4602e-02
4.4000e+00	3.7236e-02
4.6000e+00	3.9962e-02
4.8000e+00	4.2781e-02
5.0000e+00	4.5692e-02
5.2000e+00	4.8694e-02
5.4000e+00	5.1786e-02
5.6000e+00	5.4968e-02
5.8000e+00	5.8240e-02
6.0000e+00	6.1600e-02
6.2000e+00	6.5049e-02
6.4000e+00	6.8586e-02
6.6000e+00	7.2210e-02
6.8000e+00	7.5921e-02
7.0000e+00	7.9718e-02
7.2000e+00	8.3602e-02
7.4000e+00	8.7571e-02
7.6000e+00	9.1626e-02
7.8000e+00	9.5766e-02
8.0000e+00	9.9990e-02
8.2000e+00	1.0430e-01
8.4000e+00	1.0869e-01
8.6000e+00	1.1317e-01
8.8000e+00	1.1773e-01
9.0000e+00	1.2237e-01
9.2000e+00	1.2709e-01
9.4000e+00	1.3190e-01
9.6000e+00	1.3679e-01
9.8000e+00	1.4176e-01
1.0000e+01	1.4681e-01
1.0200e+01	1.5195e-01
1.0400e+01	1.5716e-01
1.0600e+01	1.6246e-01
1.0800e+01	1.6784e-01
1.1000e+01	1.7330e-01
1.1200e+01	1.7883e-01
1.1400e+01	1.8445e-01
1.1600e+01	1.9015e-01
1.1800e+01	1.9592e-01
1.2000e+01	2.0178e-01
1.2200e+01	2.0772e-01
1.2400e+01	2.1373e-01
1.2600e+01	2.1982e-01
1.2800e+01	2.2599e-01
1.3000e+01	2.3224e-01
1.3200e+01	2.3857e-01
1.3400e+01	2.4498e-01
1.3600e+01	2.5146e-01
1.3800e+01	2.5802e-01
1.4000e+01	2.6466e-01
1.4200e+01	2.7138e-01
1.4400e+01	2.7817e-01
1.4600e+01	2.8504e-01
1.4800e+01	2.9199e-01
1.5000e+01	2.9901e-01
1.5200e+01	3.0611e-01
1.5400e+01	3.1329e-01
1.5600e+01	3.2055e-01
1.5800e+01	3.2787e-01
1.6000e+01	3.3528e-01
1.6200e+01	3.4276e-01
1.6400e+01	3.5032e-01
1.6600e+01	3.5795e-01
1.6800e+01	3.6566e-01
1.7000e+01	3.7344e-01
1.7200e+01	3.8130e-01
1.7400e+01	3.8923e-01
1.7600e+01	3.9724e-01
1.7800e+01	4.0532e-01
1.8000e+01	4.1348e-01
1.8200e+01	4.2171e-01
1.8400e+01	4.3002e-01
1.8600e+01	4.3840e-01
1.8800e+01	4.4686e-01
1.9000e+01	4.5539e-01
1.9200e+01	4.6399e-01
1.9400e+01	4.7267e-01
1.9600e+01	4.8142e-01
1.9800e+01	4.9024e-01
2.0000e+01	4.9914e-01
