Title: P in a C-D plasma (Ni = 2.56e+24/cm^3, Ti=Te= 7.50e-01 keV)
Header: Electron degeneracy correction used.
rho = 30.000000 gm/cm^3
Energy (MeV)	Range (g/cm^2)
2.0000e-01	6.0631e-03
4.0000e-01	9.6867e-03
6.0000e-01	1.2662e-02
8.0000e-01	1.5399e-02
1.0000e+00	1.8031e-02
1.2000e+00	2.0617e-02
1.4000e+00	2.3192e-02
1.6000e+00	2.5777e-02
1.8000e+00	2.8389e-02
2.0000e+00	3.1037e-02
2.2000e+00	3.3732e-02
2.4000e+00	3.6480e-02
2.6000e+00	3.9287e-02
2.8000e+00	4.2158e-02
3.0000e+00	4.5097e-02
3.2000e+00	4.8108e-02
3.4000e+00	5.1195e-02
3.6000e+00	5.4360e-02
3.8000e+00	5.7606e-02
4.0000e+00	6.0934e-02
4.2000e+00	6.4348e-02
4.4000e+00	6.7849e-02
4.6000e+00	7.1438e-02
4.8000e+00	7.5117e-02
5.0000e+00	7.8888e-02
5.2000e+00	8.2751e-02
5.4000e+00	8.6707e-02
5.6000e+00	9.0757e-02
5.8000e+00	9.4902e-02
6.0000e+00	9.9143e-02
6.2000e+00	1.0348e-01
6.4000e+00	1.0791e-01
6.6000e+00	1.1244e-01
6.8000e+00	1.1707e-01
7.0000e+00	1.2180e-01
7.2000e+00	1.2662e-01
7.4000e+00	1.3154e-01
7.6000e+00	1.3656e-01
7.8000e+00	1.4168e-01
8.0000e+00	1.4690e-01
8.2000e+00	1.5221e-01
8.4000e+00	1.5762e-01
8.6000e+00	1.6313e-01
8.8000e+00	1.6874e-01
9.0000e+00	1.7445e-01
9.2000e+00	1.8025e-01
9.4000e+00	1.8615e-01
9.6000e+00	1.9215e-01
9.8000e+00	1.9825e-01
1.0000e+01	2.0444e-01
1.0200e+01	2.1073e-01
1.0400e+01	2.1712e-01
1.0600e+01	2.2360e-01
1.0800e+01	2.3018e-01
1.1000e+01	2.3686e-01
1.1200e+01	2.4363e-01
1.1400e+01	2.5049e-01
1.1600e+01	2.5746e-01
1.1800e+01	2.6451e-01
1.2000e+01	2.7167e-01
1.2200e+01	2.7891e-01
1.2400e+01	2.8626e-01
1.2600e+01	2.9369e-01
1.2800e+01	3.0122e-01
1.3000e+01	3.0885e-01
1.3200e+01	3.1656e-01
1.3400e+01	3.2438e-01
1.3600e+01	3.3228e-01
1.3800e+01	3.4028e-01
1.4000e+01	3.4837e-01
1.4200e+01	3.5655e-01
1.4400e+01	3.6483e-01
1.4600e+01	3.7319e-01
1.4800e+01	3.8165e-01
1.5000e+01	3.9020e-01
1.5200e+01	3.9885e-01
1.5400e+01	4.0758e-01
1.5600e+01	4.1641e-01
1.5800e+01	4.2532e-01
1.6000e+01	4.3433e-01
1.6200e+01	4.4343e-01
1.6400e+01	4.5262e-01
1.6600e+01	4.6189e-01
1.6800e+01	4.7126e-01
1.7000e+01	4.8072e-01
1.7200e+01	4.9027e-01
1.7400e+01	4.9991e-01
1.7600e+01	5.0964e-01
1.7800e+01	5.1946e-01
1.8000e+01	5.2936e-01
1.8200e+01	5.3936e-01
1.8400e+01	5.4944e-01
1.8600e+01	5.5961e-01
1.8800e+01	5.6988e-01
1.9000e+01	5.8023e-01
1.9200e+01	5.9066e-01
1.9400e+01	6.0119e-01
1.9600e+01	6.1181e-01
1.9800e+01	6.2251e-01
2.0000e+01	6.3330e-01
