Title: P in a Si-02 plasma (Ni = 2.99e+23/cm^3, Ti=Te= 7.50e-01 keV)
Header: Electron degeneracy correction used.
rho = 10.000000 gm/cm^3
Energy (MeV)	Range (g/cm^2)
2.0000e-01	5.0424e-03
4.0000e-01	8.3629e-03
6.0000e-01	1.1114e-02
8.0000e-01	1.3651e-02
1.0000e+00	1.6094e-02
1.2000e+00	1.8496e-02
1.4000e+00	2.0889e-02
1.6000e+00	2.3295e-02
1.8000e+00	2.5725e-02
2.0000e+00	2.8193e-02
2.2000e+00	3.0705e-02
2.4000e+00	3.3268e-02
2.6000e+00	3.5888e-02
2.8000e+00	3.8570e-02
3.0000e+00	4.1318e-02
3.2000e+00	4.4136e-02
3.4000e+00	4.7025e-02
3.6000e+00	4.9990e-02
3.8000e+00	5.3033e-02
4.0000e+00	5.6155e-02
4.2000e+00	5.9359e-02
4.4000e+00	6.2647e-02
4.6000e+00	6.6020e-02
4.8000e+00	6.9479e-02
5.0000e+00	7.3026e-02
5.2000e+00	7.6661e-02
5.4000e+00	8.0386e-02
5.6000e+00	8.4202e-02
5.8000e+00	8.8109e-02
6.0000e+00	9.2108e-02
6.2000e+00	9.6200e-02
6.4000e+00	1.0038e-01
6.6000e+00	1.0466e-01
6.8000e+00	1.0903e-01
7.0000e+00	1.1350e-01
7.2000e+00	1.1806e-01
7.4000e+00	1.2271e-01
7.6000e+00	1.2746e-01
7.8000e+00	1.3230e-01
8.0000e+00	1.3724e-01
8.2000e+00	1.4227e-01
8.4000e+00	1.4739e-01
8.6000e+00	1.5261e-01
8.8000e+00	1.5793e-01
9.0000e+00	1.6333e-01
9.2000e+00	1.6884e-01
9.4000e+00	1.7443e-01
9.6000e+00	1.8012e-01
9.8000e+00	1.8591e-01
1.0000e+01	1.9178e-01
1.0200e+01	1.9775e-01
1.0400e+01	2.0382e-01
1.0600e+01	2.0997e-01
1.0800e+01	2.1622e-01
1.1000e+01	2.2256e-01
1.1200e+01	2.2899e-01
1.1400e+01	2.3552e-01
1.1600e+01	2.4214e-01
1.1800e+01	2.4885e-01
1.2000e+01	2.5565e-01
1.2200e+01	2.6254e-01
1.2400e+01	2.6952e-01
1.2600e+01	2.7659e-01
1.2800e+01	2.8376e-01
1.3000e+01	2.9101e-01
1.3200e+01	2.9836e-01
1.3400e+01	3.0579e-01
1.3600e+01	3.1332e-01
1.3800e+01	3.2093e-01
1.4000e+01	3.2864e-01
1.4200e+01	3.3643e-01
1.4400e+01	3.4431e-01
1.4600e+01	3.5228e-01
1.4800e+01	3.6034e-01
1.5000e+01	3.6849e-01
1.5200e+01	3.7672e-01
1.5400e+01	3.8505e-01
1.5600e+01	3.9346e-01
1.5800e+01	4.0196e-01
1.6000e+01	4.1055e-01
1.6200e+01	4.1922e-01
1.6400e+01	4.2799e-01
1.6600e+01	4.3684e-01
1.6800e+01	4.4577e-01
1.7000e+01	4.5480e-01
1.7200e+01	4.6391e-01
1.7400e+01	4.7310e-01
1.7600e+01	4.8239e-01
1.7800e+01	4.9176e-01
1.8000e+01	5.0121e-01
1.8200e+01	5.1075e-01
1.8400e+01	5.2038e-01
1.8600e+01	5.3009e-01
1.8800e+01	5.3989e-01
1.9000e+01	5.4977e-01
1.9200e+01	5.5974e-01
1.9400e+01	5.6979e-01
1.9600e+01	5.7993e-01
1.9800e+01	5.9016e-01
2.0000e+01	6.0046e-01
