Title: P in a C-H (1:1.38) plasma (Ni = 3.19e+24/cm^3, Ti=Te= 2.50e-01 keV)
Header: Electron degeneracy correction used.
rho = 30.000000 gm/cm^3
Energy (MeV)	Range (g/cm^2)
2.0000e-01	2.0115e-03
4.0000e-01	3.2612e-03
6.0000e-01	4.4725e-03
8.0000e-01	5.7183e-03
1.0000e+00	7.0265e-03
1.2000e+00	8.4128e-03
1.4000e+00	9.8874e-03
1.6000e+00	1.1457e-02
1.8000e+00	1.3128e-02
2.0000e+00	1.4902e-02
2.2000e+00	1.6783e-02
2.4000e+00	1.8771e-02
2.6000e+00	2.0867e-02
2.8000e+00	2.3071e-02
3.0000e+00	2.5384e-02
3.2000e+00	2.7804e-02
3.4000e+00	3.0332e-02
3.6000e+00	3.2966e-02
3.8000e+00	3.5706e-02
4.0000e+00	3.8552e-02
4.2000e+00	4.1501e-02
4.4000e+00	4.4554e-02
4.6000e+00	4.7709e-02
4.8000e+00	5.0966e-02
5.0000e+00	5.4324e-02
5.2000e+00	5.7783e-02
5.4000e+00	6.1341e-02
5.6000e+00	6.4998e-02
5.8000e+00	6.8753e-02
6.0000e+00	7.2606e-02
6.2000e+00	7.6557e-02
6.4000e+00	8.0603e-02
6.6000e+00	8.4746e-02
6.8000e+00	8.8984e-02
7.0000e+00	9.3317e-02
7.2000e+00	9.7745e-02
7.4000e+00	1.0227e-01
7.6000e+00	1.0688e-01
7.8000e+00	1.1159e-01
8.0000e+00	1.1639e-01
8.2000e+00	1.2128e-01
8.4000e+00	1.2627e-01
8.6000e+00	1.3135e-01
8.8000e+00	1.3651e-01
9.0000e+00	1.4177e-01
9.2000e+00	1.4712e-01
9.4000e+00	1.5256e-01
9.6000e+00	1.5809e-01
9.8000e+00	1.6371e-01
1.0000e+01	1.6942e-01
1.0200e+01	1.7521e-01
1.0400e+01	1.8110e-01
1.0600e+01	1.8707e-01
1.0800e+01	1.9314e-01
1.1000e+01	1.9928e-01
1.1200e+01	2.0552e-01
1.1400e+01	2.1185e-01
1.1600e+01	2.1826e-01
1.1800e+01	2.2476e-01
1.2000e+01	2.3134e-01
1.2200e+01	2.3801e-01
1.2400e+01	2.4477e-01
1.2600e+01	2.5161e-01
1.2800e+01	2.5854e-01
1.3000e+01	2.6555e-01
1.3200e+01	2.7265e-01
1.3400e+01	2.7984e-01
1.3600e+01	2.8711e-01
1.3800e+01	2.9446e-01
1.4000e+01	3.0190e-01
1.4200e+01	3.0942e-01
1.4400e+01	3.1703e-01
1.4600e+01	3.2472e-01
1.4800e+01	3.3249e-01
1.5000e+01	3.4035e-01
1.5200e+01	3.4829e-01
1.5400e+01	3.5631e-01
1.5600e+01	3.6442e-01
1.5800e+01	3.7261e-01
1.6000e+01	3.8088e-01
1.6200e+01	3.8923e-01
1.6400e+01	3.9767e-01
1.6600e+01	4.0619e-01
1.6800e+01	4.1479e-01
1.7000e+01	4.2347e-01
1.7200e+01	4.3223e-01
1.7400e+01	4.4108e-01
1.7600e+01	4.5001e-01
1.7800e+01	4.5902e-01
1.8000e+01	4.6811e-01
1.8200e+01	4.7728e-01
1.8400e+01	4.8653e-01
1.8600e+01	4.9586e-01
1.8800e+01	5.0527e-01
1.9000e+01	5.1477e-01
1.9200e+01	5.2434e-01
1.9400e+01	5.3399e-01
1.9600e+01	5.4373e-01
1.9800e+01	5.5354e-01
2.0000e+01	5.6343e-01
