Title: P in a C-H (1:1.38) plasma (Ni = 3.19e+24/cm^3, Ti=Te= 7.50e-01 keV)
Header: Electron degeneracy correction used.
rho = 30.000000 gm/cm^3
Energy (MeV)	Range (g/cm^2)
2.0000e-01	5.4803e-03
4.0000e-01	8.7930e-03
6.0000e-01	1.1515e-02
8.0000e-01	1.4019e-02
1.0000e+00	1.6428e-02
1.2000e+00	1.8794e-02
1.4000e+00	2.1151e-02
1.6000e+00	2.3517e-02
1.8000e+00	2.5907e-02
2.0000e+00	2.8331e-02
2.2000e+00	3.0797e-02
2.4000e+00	3.3311e-02
2.6000e+00	3.5879e-02
2.8000e+00	3.8505e-02
3.0000e+00	4.1194e-02
3.2000e+00	4.3948e-02
3.4000e+00	4.6771e-02
3.6000e+00	4.9665e-02
3.8000e+00	5.2633e-02
4.0000e+00	5.5676e-02
4.2000e+00	5.8797e-02
4.4000e+00	6.1998e-02
4.6000e+00	6.5278e-02
4.8000e+00	6.8641e-02
5.0000e+00	7.2087e-02
5.2000e+00	7.5617e-02
5.4000e+00	7.9233e-02
5.6000e+00	8.2934e-02
5.8000e+00	8.6721e-02
6.0000e+00	9.0596e-02
6.2000e+00	9.4558e-02
6.4000e+00	9.8608e-02
6.6000e+00	1.0275e-01
6.8000e+00	1.0697e-01
7.0000e+00	1.1129e-01
7.2000e+00	1.1570e-01
7.4000e+00	1.2019e-01
7.6000e+00	1.2478e-01
7.8000e+00	1.2945e-01
8.0000e+00	1.3421e-01
8.2000e+00	1.3906e-01
8.4000e+00	1.4401e-01
8.6000e+00	1.4904e-01
8.8000e+00	1.5416e-01
9.0000e+00	1.5937e-01
9.2000e+00	1.6467e-01
9.4000e+00	1.7005e-01
9.6000e+00	1.7553e-01
9.8000e+00	1.8110e-01
1.0000e+01	1.8675e-01
1.0200e+01	1.9249e-01
1.0400e+01	1.9832e-01
1.0600e+01	2.0424e-01
1.0800e+01	2.1024e-01
1.1000e+01	2.1634e-01
1.1200e+01	2.2252e-01
1.1400e+01	2.2879e-01
1.1600e+01	2.3514e-01
1.1800e+01	2.4158e-01
1.2000e+01	2.4811e-01
1.2200e+01	2.5472e-01
1.2400e+01	2.6142e-01
1.2600e+01	2.6821e-01
1.2800e+01	2.7508e-01
1.3000e+01	2.8204e-01
1.3200e+01	2.8908e-01
1.3400e+01	2.9621e-01
1.3600e+01	3.0342e-01
1.3800e+01	3.1072e-01
1.4000e+01	3.1810e-01
1.4200e+01	3.2556e-01
1.4400e+01	3.3311e-01
1.4600e+01	3.4075e-01
1.4800e+01	3.4846e-01
1.5000e+01	3.5627e-01
1.5200e+01	3.6415e-01
1.5400e+01	3.7212e-01
1.5600e+01	3.8017e-01
1.5800e+01	3.8831e-01
1.6000e+01	3.9652e-01
1.6200e+01	4.0482e-01
1.6400e+01	4.1320e-01
1.6600e+01	4.2167e-01
1.6800e+01	4.3021e-01
1.7000e+01	4.3884e-01
1.7200e+01	4.4755e-01
1.7400e+01	4.5634e-01
1.7600e+01	4.6522e-01
1.7800e+01	4.7417e-01
1.8000e+01	4.8321e-01
1.8200e+01	4.9233e-01
1.8400e+01	5.0152e-01
1.8600e+01	5.1080e-01
1.8800e+01	5.2016e-01
1.9000e+01	5.2960e-01
1.9200e+01	5.3912e-01
1.9400e+01	5.4872e-01
1.9600e+01	5.5840e-01
1.9800e+01	5.6816e-01
2.0000e+01	5.7800e-01
