Title: P in a C-D plasma (Ni = 8.54e+23/cm^3, Ti=Te= 7.50e-01 keV)
Header: Electron degeneracy correction used.
rho = 10.000000 gm/cm^3
Energy (MeV)	Range (g/cm^2)
2.0000e-01	5.1884e-03
4.0000e-01	8.2927e-03
6.0000e-01	1.0850e-02
8.0000e-01	1.3203e-02
1.0000e+00	1.5465e-02
1.2000e+00	1.7688e-02
1.4000e+00	1.9901e-02
1.6000e+00	2.2124e-02
1.8000e+00	2.4371e-02
2.0000e+00	2.6652e-02
2.2000e+00	2.8975e-02
2.4000e+00	3.1346e-02
2.6000e+00	3.3770e-02
2.8000e+00	3.6252e-02
3.0000e+00	3.8796e-02
3.2000e+00	4.1406e-02
3.4000e+00	4.4084e-02
3.6000e+00	4.6832e-02
3.8000e+00	4.9654e-02
4.0000e+00	5.2551e-02
4.2000e+00	5.5526e-02
4.4000e+00	5.8579e-02
4.6000e+00	6.1713e-02
4.8000e+00	6.4929e-02
5.0000e+00	6.8227e-02
5.2000e+00	7.1610e-02
5.4000e+00	7.5077e-02
5.6000e+00	7.8631e-02
5.8000e+00	8.2270e-02
6.0000e+00	8.5997e-02
6.2000e+00	8.9812e-02
6.4000e+00	9.3714e-02
6.6000e+00	9.7705e-02
6.8000e+00	1.0179e-01
7.0000e+00	1.0595e-01
7.2000e+00	1.1021e-01
7.4000e+00	1.1456e-01
7.6000e+00	1.1900e-01
7.8000e+00	1.2353e-01
8.0000e+00	1.2814e-01
8.2000e+00	1.3285e-01
8.4000e+00	1.3765e-01
8.6000e+00	1.4253e-01
8.8000e+00	1.4751e-01
9.0000e+00	1.5257e-01
9.2000e+00	1.5773e-01
9.4000e+00	1.6297e-01
9.6000e+00	1.6831e-01
9.8000e+00	1.7373e-01
1.0000e+01	1.7924e-01
1.0200e+01	1.8484e-01
1.0400e+01	1.9053e-01
1.0600e+01	1.9631e-01
1.0800e+01	2.0217e-01
1.1000e+01	2.0813e-01
1.1200e+01	2.1417e-01
1.1400e+01	2.2030e-01
1.1600e+01	2.2652e-01
1.1800e+01	2.3282e-01
1.2000e+01	2.3921e-01
1.2200e+01	2.4569e-01
1.2400e+01	2.5226e-01
1.2600e+01	2.5891e-01
1.2800e+01	2.6565e-01
1.3000e+01	2.7248e-01
1.3200e+01	2.7939e-01
1.3400e+01	2.8638e-01
1.3600e+01	2.9347e-01
1.3800e+01	3.0064e-01
1.4000e+01	3.0789e-01
1.4200e+01	3.1523e-01
1.4400e+01	3.2265e-01
1.4600e+01	3.3016e-01
1.4800e+01	3.3776e-01
1.5000e+01	3.4543e-01
1.5200e+01	3.5320e-01
1.5400e+01	3.6104e-01
1.5600e+01	3.6897e-01
1.5800e+01	3.7699e-01
1.6000e+01	3.8509e-01
1.6200e+01	3.9327e-01
1.6400e+01	4.0154e-01
1.6600e+01	4.0988e-01
1.6800e+01	4.1832e-01
1.7000e+01	4.2683e-01
1.7200e+01	4.3543e-01
1.7400e+01	4.4411e-01
1.7600e+01	4.5287e-01
1.7800e+01	4.6172e-01
1.8000e+01	4.7065e-01
1.8200e+01	4.7965e-01
1.8400e+01	4.8875e-01
1.8600e+01	4.9792e-01
1.8800e+01	5.0718e-01
1.9000e+01	5.1651e-01
1.9200e+01	5.2593e-01
1.9400e+01	5.3543e-01
1.9600e+01	5.4501e-01
1.9800e+01	5.5468e-01
2.0000e+01	5.6442e-01
