Title: P in a Si-02 plasma (Ni = 4.49e+23/cm^3, Ti=Te= 1.12e+00 keV)
Header: Electron degeneracy correction used.
rho = 15.000000 gm/cm^3
Energy (MeV)	Range (g/cm^2)
2.0000e-01	7.6945e-03
4.0000e-01	1.3354e-02
6.0000e-01	1.7830e-02
8.0000e-01	2.1810e-02
1.0000e+00	2.5531e-02
1.2000e+00	2.9104e-02
1.4000e+00	3.2588e-02
1.6000e+00	3.6020e-02
1.8000e+00	3.9428e-02
2.0000e+00	4.2827e-02
2.2000e+00	4.6232e-02
2.4000e+00	4.9654e-02
2.6000e+00	5.3101e-02
2.8000e+00	5.6580e-02
3.0000e+00	6.0096e-02
3.2000e+00	6.3656e-02
3.4000e+00	6.7264e-02
3.6000e+00	7.0922e-02
3.8000e+00	7.4636e-02
4.0000e+00	7.8408e-02
4.2000e+00	8.2241e-02
4.4000e+00	8.6137e-02
4.6000e+00	9.0098e-02
4.8000e+00	9.4128e-02
5.0000e+00	9.8227e-02
5.2000e+00	1.0240e-01
5.4000e+00	1.0664e-01
5.6000e+00	1.1096e-01
5.8000e+00	1.1536e-01
6.0000e+00	1.1983e-01
6.2000e+00	1.2438e-01
6.4000e+00	1.2901e-01
6.6000e+00	1.3373e-01
6.8000e+00	1.3852e-01
7.0000e+00	1.4340e-01
7.2000e+00	1.4836e-01
7.4000e+00	1.5341e-01
7.6000e+00	1.5854e-01
7.8000e+00	1.6376e-01
8.0000e+00	1.6907e-01
8.2000e+00	1.7446e-01
8.4000e+00	1.7994e-01
8.6000e+00	1.8550e-01
8.8000e+00	1.9116e-01
9.0000e+00	1.9691e-01
9.2000e+00	2.0274e-01
9.4000e+00	2.0866e-01
9.6000e+00	2.1468e-01
9.8000e+00	2.2078e-01
1.0000e+01	2.2698e-01
1.0200e+01	2.3326e-01
1.0400e+01	2.3964e-01
1.0600e+01	2.4610e-01
1.0800e+01	2.5266e-01
1.1000e+01	2.5931e-01
1.1200e+01	2.6605e-01
1.1400e+01	2.7288e-01
1.1600e+01	2.7981e-01
1.1800e+01	2.8682e-01
1.2000e+01	2.9393e-01
1.2200e+01	3.0112e-01
1.2400e+01	3.0841e-01
1.2600e+01	3.1579e-01
1.2800e+01	3.2326e-01
1.3000e+01	3.3082e-01
1.3200e+01	3.3848e-01
1.3400e+01	3.4622e-01
1.3600e+01	3.5406e-01
1.3800e+01	3.6198e-01
1.4000e+01	3.7000e-01
1.4200e+01	3.7811e-01
1.4400e+01	3.8631e-01
1.4600e+01	3.9460e-01
1.4800e+01	4.0298e-01
1.5000e+01	4.1145e-01
1.5200e+01	4.2001e-01
1.5400e+01	4.2866e-01
1.5600e+01	4.3741e-01
1.5800e+01	4.4624e-01
1.6000e+01	4.5516e-01
1.6200e+01	4.6417e-01
1.6400e+01	4.7327e-01
1.6600e+01	4.8246e-01
1.6800e+01	4.9174e-01
1.7000e+01	5.0111e-01
1.7200e+01	5.1057e-01
1.7400e+01	5.2011e-01
1.7600e+01	5.2975e-01
1.7800e+01	5.3947e-01
1.8000e+01	5.4929e-01
1.8200e+01	5.5919e-01
1.8400e+01	5.6918e-01
1.8600e+01	5.7926e-01
1.8800e+01	5.8942e-01
1.9000e+01	5.9968e-01
1.9200e+01	6.1002e-01
1.9400e+01	6.2045e-01
1.9600e+01	6.3097e-01
1.9800e+01	6.4157e-01
2.0000e+01	6.5226e-01
