Title: P in a Si-02 plasma (Ni = 4.49e+23/cm^3, Ti=Te= 3.75e-01 keV)
Header: Electron degeneracy correction used.
rho = 15.000000 gm/cm^3
Energy (MeV)	Range (g/cm^2)
2.0000e-01	2.7771e-03
4.0000e-01	4.5372e-03
6.0000e-01	6.1516e-03
8.0000e-01	7.7496e-03
1.0000e+00	9.3766e-03
1.2000e+00	1.1056e-02
1.4000e+00	1.2802e-02
1.6000e+00	1.4627e-02
1.8000e+00	1.6537e-02
2.0000e+00	1.8539e-02
2.2000e+00	2.0638e-02
2.4000e+00	2.2837e-02
2.6000e+00	2.5140e-02
2.8000e+00	2.7548e-02
3.0000e+00	3.0063e-02
3.2000e+00	3.2686e-02
3.4000e+00	3.5419e-02
3.6000e+00	3.8262e-02
3.8000e+00	4.1215e-02
4.0000e+00	4.4279e-02
4.2000e+00	4.7452e-02
4.4000e+00	5.0735e-02
4.6000e+00	5.4128e-02
4.8000e+00	5.7631e-02
5.0000e+00	6.1242e-02
5.2000e+00	6.4962e-02
5.4000e+00	6.8789e-02
5.6000e+00	7.2723e-02
5.8000e+00	7.6765e-02
6.0000e+00	8.0912e-02
6.2000e+00	8.5165e-02
6.4000e+00	8.9523e-02
6.6000e+00	9.3986e-02
6.8000e+00	9.8553e-02
7.0000e+00	1.0322e-01
7.2000e+00	1.0800e-01
7.4000e+00	1.1287e-01
7.6000e+00	1.1785e-01
7.8000e+00	1.2293e-01
8.0000e+00	1.2811e-01
8.2000e+00	1.3339e-01
8.4000e+00	1.3877e-01
8.6000e+00	1.4425e-01
8.8000e+00	1.4983e-01
9.0000e+00	1.5551e-01
9.2000e+00	1.6129e-01
9.4000e+00	1.6717e-01
9.6000e+00	1.7314e-01
9.8000e+00	1.7922e-01
1.0000e+01	1.8539e-01
1.0200e+01	1.9165e-01
1.0400e+01	1.9802e-01
1.0600e+01	2.0448e-01
1.0800e+01	2.1103e-01
1.1000e+01	2.1768e-01
1.1200e+01	2.2443e-01
1.1400e+01	2.3127e-01
1.1600e+01	2.3821e-01
1.1800e+01	2.4524e-01
1.2000e+01	2.5236e-01
1.2200e+01	2.5958e-01
1.2400e+01	2.6690e-01
1.2600e+01	2.7431e-01
1.2800e+01	2.8181e-01
1.3000e+01	2.8940e-01
1.3200e+01	2.9709e-01
1.3400e+01	3.0487e-01
1.3600e+01	3.1274e-01
1.3800e+01	3.2070e-01
1.4000e+01	3.2876e-01
1.4200e+01	3.3690e-01
1.4400e+01	3.4514e-01
1.4600e+01	3.5347e-01
1.4800e+01	3.6190e-01
1.5000e+01	3.7041e-01
1.5200e+01	3.7901e-01
1.5400e+01	3.8771e-01
1.5600e+01	3.9649e-01
1.5800e+01	4.0537e-01
1.6000e+01	4.1433e-01
1.6200e+01	4.2339e-01
1.6400e+01	4.3253e-01
1.6600e+01	4.4177e-01
1.6800e+01	4.5109e-01
1.7000e+01	4.6050e-01
1.7200e+01	4.7000e-01
1.7400e+01	4.7959e-01
1.7600e+01	4.8927e-01
1.7800e+01	4.9904e-01
1.8000e+01	5.0890e-01
1.8200e+01	5.1884e-01
1.8400e+01	5.2888e-01
1.8600e+01	5.3900e-01
1.8800e+01	5.4921e-01
1.9000e+01	5.5950e-01
1.9200e+01	5.6989e-01
1.9400e+01	5.8036e-01
1.9600e+01	5.9092e-01
1.9800e+01	6.0156e-01
2.0000e+01	6.1230e-01
