WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Temperature (keV), Temperature unc. (keV), Width (keV), Width unc. (keV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Compres. yield, Compres. yield unc., Compres. mean (MeV), Compres. mean unc. (MeV), Compres. rho-R (mg/cm^2), Compres. rho-R unc. (mg/cm^2)
O111181 P2,154300000.0,17250740.0,15.036,0.06200806399170999,8.749659864110633,1.439956134212825,652.335,30.615,nan,nan,nan,inf,nan,inf,nan,nan
O111184 P2,107800000.0,12472460.0,14.782,0.06341135544995076,8.46853741512574,1.0626157372928031,645.2700000000001,18.84,nan,nan,nan,inf,nan,inf,nan,nan
O111186 P2,284300000.0,28458430.0,14.975,0.06200806399170999,8.749659864110633,0.9449001631042481,652.335,14.13,nan,nan,nan,inf,nan,inf,nan,nan
O111188 P2,157800000.0,13081619.999999998,14.754,0.06220128616033595,7.915476190625509,0.9901670763256355,631.14,16.485,nan,nan,nan,inf,nan,inf,nan,nan
O111190 P2,105200000.0,9825680.0,14.825,0.06200806399170999,7.55357142871392,0.9292708736158135,621.72,14.13,nan,nan,nan,inf,nan,inf,nan,nan
O111192 P2,162300000.0,29067930.0,14.944,0.06389053137985315,9.321088435549978,1.5457497869054557,666.4649999999999,32.97,nan,nan,nan,inf,nan,inf,nan,nan
O111197 P2,162200000.0,21053560.0,14.794,0.06325345840347388,8.006802721239476,0.8846219504492948,633.495,11.775,nan,nan,nan,inf,nan,inf,nan,nan
O111199 P2,117000000.0,16146000.0,14.953,0.06389053137985315,8.655612245061237,1.2804833661710013,649.98,25.904999999999998,nan,nan,nan,inf,nan,inf,nan,nan
