WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Temperature (keV), Temperature unc. (keV), Width (keV), Width unc. (keV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Compres. yield, Compres. yield unc., Compres. mean (MeV), Compres. mean unc. (MeV), Compres. rho-R (mg/cm^2), Compres. rho-R unc. (mg/cm^2)
O110708 P2,86150000.0,4945010.0,15.028,0.060802960454241044,9.70884353759811,1.648453202030981,675.885,35.324999999999996,nan,nan,nan,inf,nan,inf,nan,nan
O110708 TIM2,106900000.0,17264349.999999996,14.818,0.0626258732474047,9.321088435549978,1.7161830824138258,666.4649999999999,37.68,nan,nan,nan,inf,nan,inf,nan,nan
O110709 P2,90100000.0,9532580.0,14.778,0.06220128616033595,9.51428571446519,1.9913884260836376,671.175,44.745,nan,nan,nan,inf,nan,inf,nan,nan
O110709 TIM2,58800000.0,6191640.0,14.753,0.06341135544995076,9.611394558004436,1.0857758750403406,673.53,18.84,nan,nan,nan,inf,nan,inf,nan,nan
O110710 P2,56020000.0,15584764.0,14.756,0.0735934779718964,9.417517006980372,1.985412696522019,668.8199999999999,44.745,nan,nan,nan,inf,nan,inf,nan,nan
O110710 TIM2,76080000.0,7311288.0,14.758,0.06341135544995076,9.225000000174019,1.0119691856433661,664.1099999999999,16.485,nan,nan,nan,inf,nan,inf,nan,nan
O110712 P2,26980000.0,3955268.0,15.18,0.07291776189653656,8.655612245061237,16.633567647636184,649.98,416.835,nan,nan,nan,inf,nan,inf,nan,nan
O110712 TIM2,38360000.0,7737212.000000001,15.105,0.07000714249274856,8.006802721239476,5.632414355115881,633.495,143.655,nan,nan,112216474.4302642,916612551967.9188,14.15040288286493,96.99737851433413,nan,nan
O110714 P2,47020000.0,5454320.0,14.88,0.0651920240520265,7.463945578372093,2.2765349573655205,619.365,56.52,nan,nan,nan,inf,nan,inf,nan,nan
O110714 TIM2,50200000.0,3082280.0,14.757,0.06220128616033595,8.561904762066275,1.5126526084724563,647.625,32.97,nan,nan,nan,inf,nan,inf,nan,nan
O110715 P2,32450000.0,4361280.0,15.036,0.06789698078707182,9.611394558004436,3.9641347004147813,673.53,94.2,nan,nan,nan,inf,nan,inf,nan,nan
O110715 TIM2,42430000.0,3275596.0,15.013,0.06140032573203501,9.033843537585382,3.047920372065975,659.4000000000001,73.005,nan,nan,nan,inf,nan,inf,nan,nan
O110716 P2,35780000.0,3170108.0,15.082,0.060802960454241044,8.28282312940795,2.171638375836084,640.5600000000001,51.809999999999995,nan,nan,nan,inf,nan,inf,nan,nan
O110716 TIM2,33410000.0,20617311.0,15.01,0.1095673308974897,9.611394558004436,6.078630991696956,673.53,146.01,nan,nan,nan,inf,nan,inf,nan,nan
