WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Temperature (keV), Temperature unc. (keV), Width (keV), Width unc. (keV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Compres. yield, Compres. yield unc., Compres. mean (MeV), Compres. mean unc. (MeV), Compres. rho-R (mg/cm^2), Compres. rho-R unc. (mg/cm^2)
O111113 NDI,196200000.0,10320120.0,15.481,0.05940538696111658,8.375510204239632,0.8881590683216637,642.9150000000001,11.775,nan,nan,nan,inf,nan,inf,nan,nan
O111114 NDI (bottom),299900000.0,48073970.0,15.603,0.06171709649683789,7.463945578372093,0.9280891324472957,619.365,14.13,nan,nan,nan,inf,nan,inf,nan,nan
O111114 NDI (full),291100000.0,30652830.0,15.462,0.06,10.904761904967609,1.3508411226699713,704.145,25.904999999999998,nan,nan,nan,inf,nan,inf,nan,nan
O111114 NDI (top),283700000.0,39547780.0,15.339,0.06184658438426491,7.733843537560859,1.6336664938880938,626.4300000000001,37.68,nan,nan,nan,inf,nan,inf,nan,nan
O111116 NDI,299300000.0,13049480.0,15.454,0.05882176467941097,8.655612245061237,0.9436806192972615,649.98,14.13,nan,nan,nan,inf,nan,inf,nan,nan
O111117 NDI,196700000.0,8300740.0,15.419,0.05940538696111658,7.643537415110176,1.0455782313122408,624.075,18.84,nan,nan,nan,inf,nan,inf,nan,nan
O111119 NDI,267400000.0,10134460.0,15.4,0.05882176467941097,8.655612245061237,0.8451468626924118,649.98,9.42,nan,nan,nan,inf,nan,inf,nan,nan
O111122 NDI,148300000.0,6999760.0,15.519,0.05940538696111658,8.655612245061237,0.9436806192972615,649.98,14.13,nan,nan,nan,inf,nan,inf,nan,nan
