WRF, Yield, Yield unc., Mean energy (MeV), Mean energy unc. (MeV), Sigma (MeV), Sigma unc. (MeV), Rho-R (mg/cm^2), Rho-R unc. (mg/cm^2), Hot-spot rho-R (mg/cm^2), Shell rho-R (mg/cm^2)
N211229-002 090-124:1,13000000.0,43000000.0,11.92,0.97,0,0,81.0,31.3,0.0,0.0
N211229-002 090-124:3,42000000.0,32000000.0,11.79,0.2,0,0,85.1,7.8,0.0,0.0
N211229-002 090-124:4,25000000.0,39000000.0,11.71,0.8,0,0,87.8,26.0,0.0,0.0
N220222-001 090-124:1,75000000.0,96000000.0,11.48,0.23,0,0,96.5,9.1,0.0,0.0
N220222-001 090-124:3,54000000.0,34000000.0,11.72,0.19,0,0,89.0,7.8,0.0,0.0
N220222-001 090-124:4,36000000.0,16000000.0,12.05,0.16,0,0,78.2,6.7,0.0,0.0
