090-124 1          7.5e+07   9.6e+07    11.48   0.23     96.5    9.1  
090-124 3          5.4e+07   3.4e+07    11.72   0.19     89.0    7.8  
090-124 4          3.6e+07   1.6e+07    12.05   0.16     78.2    6.7  
