090-124 1          1.3e+07   4.3e+07    11.92   0.97     81.0    31.3
090-124 3          4.2e+07   3.2e+07    11.79   0.20     85.1    7.8
090-124 4          2.5e+07   3.9e+07    11.71   0.80     87.8    26.0
